Sample,Group,Pair,Plot,Treatment,Road,Date,Time Collected,Hours,Diptera,Hymenoptera,Hemiptera,Coleoptera,Lepidoptera,Plecoptera,Other,Spiders,Total,Non-Diptera,Formicidae,Pompilidae,Ichneumonidae,Braconidae,Chalcidoidea,Diaprioidea,Tachinidae,Parasitoids,Asilidae,Tipuloidea,Pentatomidae,Reduviidae
1,North,A,ALAN I,Illuminated,On,6/1/2021,11:43,23.93,18,1,1,0,4,0,0,0,24,6,0,0,1,0,0,0,0,1,1,3,0,0
2,North,A,ALAN I,Illuminated,On,6/4/2021,12:32,72.82,27,1,1,2,7,3,0,3,44,17,0,0,1,0,0,0,0,1,0,3,1,0
3,North,A,ALAN I,Illuminated,On,6/7/2021,11:20,69.8,40,10,0,6,11,5,0,2,74,34,2,0,6,0,0,2,0,8,0,9,0,0
4,North,A,ALAN I,Illuminated,On,6/8/2021,11:34,25.23,21,15,1,4,8,2,0,0,51,30,2,0,9,0,0,4,1,14,0,1,0,0
5,North,A,ALAN I,Illuminated,On,6/11/2021,12:50,73.27,32,9,0,1,10,3,1,1,57,25,1,0,5,0,0,3,0,8,0,2,0,0
6,North,A,ALAN I,Illuminated,On,6/14/2021,8:40,67.83,7,8,0,0,10,0,0,0,25,18,3,0,5,0,0,0,0,5,0,2,0,0
7,North,A,ALAN I,Illuminated,On,6/15/2021,12:41,28.02,5,4,0,0,2,0,0,0,11,6,0,0,4,0,0,0,0,4,0,1,0,0
8,North,A,ALAN I,Illuminated,On,6/18/2021,13:12,72.52,13,6,0,4,11,3,1,1,39,26,0,0,5,0,0,1,2,8,0,1,0,0
9,North,A,ALAN I,Illuminated,On,6/21/2021,16:16,75.07,13,9,0,1,15,1,0,2,41,28,2,0,5,0,0,2,2,9,0,1,0,0
10,North,A,ALAN I,Illuminated,On,6/25/2021,12:46,92.5,7,4,0,5,17,0,1,1,35,28,0,1,3,0,0,0,0,3,0,0,0,0
11,North,A,ALAN I,Illuminated,On,6/28/2021,12:39,71.82,16,3,1,1,8,0,2,0,31,15,1,0,3,0,0,0,0,3,0,1,0,0
12,North,A,ALAN I,Illuminated,On,6/29/2021,11:20,22.68,7,5,2,0,5,0,0,1,20,13,0,0,5,0,0,0,0,5,0,0,0,0
13,North,A,ALAN I,Illuminated,On,7/2/2021,11:41,72.35,8,5,0,0,44,0,0,2,59,51,0,2,3,0,0,0,0,3,0,0,0,0
14,North,A,ALAN I,Illuminated,On,7/5/2021,11:39,71.97,13,0,0,0,2,0,0,1,16,3,0,0,0,0,0,0,0,0,0,1,0,0
15,North,A,ALAN I,Illuminated,On,7/10/2021,8:45,93.1,5,0,0,0,4,0,0,2,11,6,0,0,0,0,0,0,0,0,0,0,0,0
16,North,A,ALAN I,Illuminated,On,7/13/2021,7:00,70.25,13,1,0,2,9,0,0,2,27,14,0,0,1,0,0,0,0,1,0,0,0,0
17,North,A,ALAN I,Illuminated,On,7/16/2021,15:51,80.85,13,1,0,0,11,0,0,2,27,14,0,0,1,0,0,0,0,1,0,0,0,0
18,North,A,ALAN I,Illuminated,On,7/20/2021,12:15,92.4,14,10,1,1,18,0,0,5,49,35,0,1,6,1,0,2,0,9,0,1,0,0
19,North,A,ALAN I,Illuminated,On,7/23/2021,11:50,71.58,25,8,1,2,10,0,0,1,47,22,0,0,4,1,2,1,0,8,0,0,0,0
20,North,A,ALAN I,Illuminated,On,7/27/2021,12:47,96.95,18,7,1,0,14,0,1,2,43,25,0,2,5,0,0,0,0,5,0,0,0,0
21,North,A,ALAN I,Illuminated,On,7/30/2021,9:05,68.3,4,0,0,0,2,0,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0
1,North,B,ALAN III,Illuminated,Off,6/1/2021,11:55,24,13,7,1,0,4,0,1,0,26,13,0,0,3,1,1,2,0,7,0,3,0,0
2,North,B,ALAN III,Illuminated,Off,6/4/2021,12:21,72.43,26,3,3,2,3,0,1,2,40,14,1,0,2,0,0,0,0,2,0,6,0,0
3,North,B,ALAN III,Illuminated,Off,6/7/2021,11:00,70.65,25,16,1,9,7,1,2,2,63,38,0,0,14,1,0,1,0,16,0,5,0,0
4,North,B,ALAN III,Illuminated,Off,6/8/2021,11:50,24.83,16,14,1,2,8,1,0,1,43,27,2,0,9,0,0,3,1,13,0,0,0,0
5,North,B,ALAN III,Illuminated,Off,6/11/2021,12:59,73.15,14,30,2,1,16,2,1,1,67,53,0,0,25,2,0,4,0,30,0,4,0,0
6,North,B,ALAN III,Illuminated,Off,6/14/2021,8:52,67.88,3,14,0,0,2,1,0,6,26,23,1,0,13,0,0,0,1,14,0,0,0,0
7,North,B,ALAN III,Illuminated,Off,6/15/2021,12:56,28.07,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0
8,North,B,ALAN III,Illuminated,Off,6/18/2021,13:22,72.43,15,36,0,4,7,2,0,1,65,50,1,0,35,0,0,1,1,37,0,0,0,0
9,North,B,ALAN III,Illuminated,Off,6/21/2021,16:38,75.27,17,34,0,3,6,0,1,5,66,49,3,0,26,3,0,2,2,33,0,0,0,0
10,North,B,ALAN III,Illuminated,Off,6/25/2021,13:19,92.68,17,33,2,1,19,0,0,3,75,58,1,0,31,0,0,1,0,32,0,2,0,0
11,North,B,ALAN III,Illuminated,Off,6/28/2021,12:53,71.57,15,17,0,0,40,0,0,6,78,53,1,0,15,0,1,0,0,16,0,0,0,0
12,North,B,ALAN III,Illuminated,Off,6/29/2021,11:09,22.27,8,9,1,2,24,0,0,0,44,36,0,0,9,0,0,0,0,9,0,0,0,0
13,North,B,ALAN III,Illuminated,Off,7/2/2021,11:32,72.38,29,22,1,0,36,0,1,1,90,61,2,0,17,1,0,2,0,20,0,1,0,0
14,North,B,ALAN III,Illuminated,Off,7/5/2021,11:48,72.27,17,4,0,1,4,0,0,0,26,9,0,0,4,0,0,0,1,5,0,1,0,0
15,North,B,ALAN III,Illuminated,Off,7/10/2021,8:55,93.1,18,16,1,1,28,0,0,5,69,51,1,0,13,0,0,2,0,15,0,0,0,0
16,North,B,ALAN III,Illuminated,Off,7/13/2021,7:18,70.38,20,10,1,2,63,0,1,5,102,82,0,0,8,0,1,2,0,11,0,0,0,0
17,North,B,ALAN III,Illuminated,Off,7/16/2021,16:10,80.87,20,17,0,3,20,0,0,1,61,44,1,0,7,4,1,4,0,16,0,0,0,0
18,North,B,ALAN III,Illuminated,Off,7/20/2021,12:30,92.33,13,7,0,2,10,0,1,7,40,27,0,0,5,0,0,2,0,7,0,2,0,0
19,North,B,ALAN III,Illuminated,Off,7/23/2021,13:49,73.43,15,10,0,1,13,0,2,3,44,29,2,0,8,0,0,0,0,8,0,1,0,0
20,North,B,ALAN III,Illuminated,Off,7/27/2021,13:06,95.28,22,8,0,1,11,0,0,9,51,29,1,0,3,0,0,4,0,7,0,1,0,0
21,North,B,ALAN III,Illuminated,Off,7/30/2021,9:16,68.17,9,6,1,1,3,0,0,8,28,19,0,0,4,0,0,2,0,6,0,0,0,0
1,South,C,ALAN VI,Illuminated,Off,6/1/2021,12:16,24.3,13,2,0,0,3,0,1,0,19,6,0,0,0,1,0,1,0,2,0,10,0,0
2,South,C,ALAN VI,Illuminated,Off,6/4/2021,11:46,71.5,28,10,0,1,5,2,0,1,47,19,1,0,3,0,0,6,0,9,0,13,0,0
3,South,C,ALAN VI,Illuminated,Off,6/7/2021,5:53,66.2,28,19,0,6,10,0,1,2,66,38,0,1,13,0,1,4,0,18,0,6,0,0
4,South,C,ALAN VI,Illuminated,Off,6/8/2021,12:37,30.65,15,13,0,4,1,0,0,0,33,18,1,0,4,0,0,8,0,12,0,2,0,0
5,South,C,ALAN VI,Illuminated,Off,6/11/2021,12:35,71.97,23,13,0,0,14,1,0,1,52,29,0,0,9,0,1,3,0,13,0,4,0,0
6,South,C,ALAN VI,Illuminated,Off,6/14/2021,9:11,68.6,15,13,0,2,11,1,0,1,43,28,1,0,3,1,1,7,0,12,1,3,0,0
7,South,C,ALAN VI,Illuminated,Off,6/15/2021,12:14,27.05,3,3,0,0,1,0,0,0,7,4,0,0,3,0,0,0,0,3,0,0,0,0
8,South,C,ALAN VI,Illuminated,Off,6/18/2021,13:01,72.8,5,15,0,0,3,0,0,1,24,19,0,0,12,2,0,1,0,15,0,0,0,0
9,South,C,ALAN VI,Illuminated,Off,6/21/2021,15:49,74.8,12,9,0,2,6,0,0,3,32,20,0,1,8,0,0,0,0,8,0,0,0,0
10,South,C,ALAN VI,Illuminated,Off,6/25/2021,12:05,92.27,22,12,0,2,11,1,2,3,53,31,0,0,11,0,0,1,0,12,0,0,0,0
11,South,C,ALAN VI,Illuminated,Off,6/28/2021,11:59,71.8,10,8,0,1,13,0,1,2,35,25,0,0,5,2,1,0,0,8,0,0,0,0
12,South,C,ALAN VI,Illuminated,Off,6/29/2021,10:44,22.75,4,1,0,1,6,0,0,1,13,9,0,0,1,0,0,0,0,1,0,0,0,0
13,South,C,ALAN VI,Illuminated,Off,7/2/2021,11:02,72.3,19,17,0,0,33,0,0,2,71,52,0,2,3,3,0,9,0,15,0,2,0,0
14,South,C,ALAN VI,Illuminated,Off,7/5/2021,12:09,73.12,13,4,1,0,7,0,0,1,26,13,0,0,1,0,0,3,0,4,0,1,0,0
15,South,C,ALAN VI,Illuminated,Off,7/10/2021,9:12,93.15,8,2,0,3,15,0,1,1,30,22,0,0,1,0,0,1,0,2,0,1,0,0
16,South,C,ALAN VI,Illuminated,Off,7/13/2021,13:36,76.4,20,8,1,0,22,0,0,1,52,32,0,1,5,0,0,2,0,7,0,1,0,0
17,South,C,ALAN VI,Illuminated,Off,7/16/2021,15:14,73.63,10,7,0,0,32,0,0,0,49,39,0,2,2,1,0,2,0,5,0,2,0,0
18,South,C,ALAN VI,Illuminated,Off,7/20/2021,11:50,92.6,8,1,0,0,20,0,1,3,33,25,0,0,0,0,0,1,0,1,0,2,0,0
19,South,C,ALAN VI,Illuminated,Off,7/23/2021,11:23,71.55,18,9,1,0,15,0,0,3,46,28,0,1,0,0,0,8,0,8,0,4,0,0
20,South,C,ALAN VI,Illuminated,Off,7/27/2021,12:22,96.98,23,17,0,0,45,0,0,3,88,65,0,2,1,3,0,11,0,15,0,1,0,0
21,South,C,ALAN VI,Illuminated,Off,7/30/2021,9:37,69.25,10,12,0,0,25,0,0,3,50,40,0,0,3,0,0,9,0,12,0,4,0,0
1,South,D,ALAN VIII,Illuminated,On,6/1/2021,12:30,24.27,23,9,4,2,5,1,1,0,45,22,0,0,5,1,0,3,0,9,0,16,0,0
2,South,D,ALAN VIII,Illuminated,On,6/4/2021,11:57,71.45,34,3,2,2,5,1,0,1,48,14,2,0,1,0,0,0,0,1,0,11,1,0
3,South,D,ALAN VIII,Illuminated,On,6/7/2021,5:45,65.75,44,25,1,7,9,8,0,0,94,50,0,0,12,0,0,13,1,26,0,8,0,0
4,South,D,ALAN VIII,Illuminated,On,6/8/2021,12:18,30.52,30,19,3,3,16,2,0,0,73,43,0,0,11,2,0,6,2,21,0,5,0,0
5,South,D,ALAN VIII,Illuminated,On,6/11/2021,12:04,71.85,31,23,0,7,27,2,1,0,91,60,1,0,12,2,0,7,0,21,0,6,0,0
6,South,D,ALAN VIII,Illuminated,On,6/14/2021,9:24,69.33,15,28,0,4,19,2,0,0,68,53,0,2,22,0,0,3,1,26,1,5,0,0
7,South,D,ALAN VIII,Illuminated,On,6/15/2021,11:52,26.47,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
8,South,D,ALAN VIII,Illuminated,On,6/18/2021,12:51,72.98,10,12,1,4,10,1,1,0,39,29,0,0,10,0,0,1,0,11,0,3,0,0
9,South,D,ALAN VIII,Illuminated,On,6/21/2021,15:27,74.6,12,16,0,4,15,1,1,3,52,40,0,1,9,1,0,5,0,15,0,2,0,0
10,South,D,ALAN VIII,Illuminated,On,6/25/2021,11:24,91.95,22,16,0,7,11,1,2,4,63,41,0,0,11,2,0,3,0,16,0,2,0,0
11,South,D,ALAN VIII,Illuminated,On,6/28/2021,11:40,71.9,12,10,0,2,17,0,0,1,42,30,0,0,6,2,0,2,0,10,0,0,0,0
12,South,D,ALAN VIII,Illuminated,On,6/29/2021,10:22,22.7,7,5,0,2,8,2,0,0,24,17,0,0,3,0,0,2,0,5,0,0,0,0
13,South,D,ALAN VIII,Illuminated,On,7/2/2021,11:13,72.85,10,9,2,2,28,0,4,1,56,46,0,0,5,1,0,3,0,9,0,0,0,2
14,South,D,ALAN VIII,Illuminated,On,7/5/2021,12:17,73.07,10,2,1,3,8,0,1,1,26,16,0,0,2,0,0,0,1,3,0,0,0,0
15,South,D,ALAN VIII,Illuminated,On,7/10/2021,9:33,93.27,35,8,0,2,36,1,0,3,85,50,0,1,5,1,0,1,0,7,0,1,0,0
16,South,D,ALAN VIII,Illuminated,On,7/13/2021,13:15,75.7,21,4,0,1,48,1,0,2,77,56,0,0,3,0,0,1,1,5,0,1,0,0
17,South,D,ALAN VIII,Illuminated,On,7/16/2021,15:29,74.23,25,12,1,2,35,0,2,1,78,53,0,2,3,0,0,7,0,12,0,2,1,0
18,South,D,ALAN VIII,Illuminated,On,7/20/2021,12:01,92.53,19,7,1,0,21,1,1,2,52,33,0,0,3,0,0,4,0,7,0,0,0,0
19,South,D,ALAN VIII,Illuminated,On,7/23/2021,11:07,71.1,21,10,0,2,25,0,0,4,62,41,0,1,4,2,0,3,0,9,0,1,0,0
20,South,D,ALAN VIII,Illuminated,On,7/27/2021,12:02,96.92,26,14,1,1,35,3,0,4,84,58,0,1,2,9,0,2,0,13,0,2,0,0
21,South,D,ALAN VIII,Illuminated,On,7/30/2021,9:51,69.82,15,8,1,3,15,2,1,3,48,33,0,0,2,3,0,3,0,8,0,1,0,0
1,North,A,Control II,Control,Off,6/1/2021,11:47,23.93,16,1,2,1,4,3,0,0,27,11,0,0,1,0,0,0,0,1,0,6,0,0
2,North,A,Control II,Control,Off,6/4/2021,12:30,72.72,18,10,1,2,5,6,0,0,42,24,0,0,3,0,0,7,0,10,0,5,0,0
3,North,A,Control II,Control,Off,6/7/2021,10:44,70.23,14,9,3,4,7,1,0,1,39,25,0,0,3,1,0,5,0,9,0,1,0,0
4,North,A,Control II,Control,Off,6/8/2021,11:39,24.48,11,8,0,2,4,0,0,1,26,15,0,2,6,0,0,0,1,9,0,0,0,0
5,North,A,Control II,Control,Off,6/11/2021,12:54,73.25,16,11,0,1,9,4,1,2,44,28,0,0,9,0,0,2,0,11,0,0,0,0
6,North,A,Control II,Control,Off,6/14/2021,8:46,67.87,13,7,1,0,11,1,2,0,35,22,0,0,7,0,0,0,0,7,0,1,0,0
7,North,A,Control II,Control,Off,6/15/2021,12:50,28.07,9,3,0,1,1,1,0,0,15,6,0,0,1,1,0,1,0,3,0,0,0,0
8,North,A,Control II,Control,Off,6/18/2021,13:18,72.47,11,6,0,1,6,0,1,2,27,16,0,0,6,0,0,0,1,7,0,0,0,0
9,North,A,Control II,Control,Off,6/21/2021,16:30,75.2,13,16,1,1,5,1,0,1,38,25,0,0,15,0,0,0,0,15,0,0,0,0
10,North,A,Control II,Control,Off,6/25/2021,13:05,92.58,10,12,0,0,6,0,1,5,34,22,0,0,12,0,0,0,0,12,0,0,0,0
11,North,A,Control II,Control,Off,6/28/2021,13:01,71.67,18,17,0,1,6,2,0,2,46,28,0,0,15,1,0,0,0,16,0,0,0,0
12,North,A,Control II,Control,Off,6/29/2021,11:16,22.52,8,5,0,0,3,0,1,0,17,9,0,0,4,1,0,0,0,5,0,1,0,0
13,North,A,Control II,Control,Off,7/2/2021,11:36,72.33,20,5,0,1,40,0,0,1,67,47,0,0,5,0,0,0,0,5,0,0,0,0
14,North,A,Control II,Control,Off,7/5/2021,11:43,72.12,12,2,2,0,6,0,1,0,23,11,0,0,2,0,0,0,0,2,0,0,0,0
15,North,A,Control II,Control,Off,7/10/2021,8:50,93.1,14,2,0,0,12,0,0,1,29,15,0,0,2,0,0,0,1,3,0,0,0,0
16,North,A,Control II,Control,Off,7/13/2021,7:12,70.37,14,5,0,2,14,0,0,0,35,21,0,0,4,0,0,1,0,5,0,0,0,0
17,North,A,Control II,Control,Off,7/16/2021,16:00,80.8,12,5,2,0,10,0,0,0,29,17,0,0,1,1,0,3,1,6,0,0,0,0
18,North,A,Control II,Control,Off,7/20/2021,12:13,92.38,11,7,2,1,9,0,0,0,30,19,0,0,4,1,0,2,0,7,0,1,0,0
19,North,A,Control II,Control,Off,7/23/2021,12:00,71.62,17,8,1,2,9,0,1,2,40,23,0,1,5,1,0,1,0,7,0,0,0,0
20,North,A,Control II,Control,Off,7/27/2021,12:58,96.97,15,5,1,0,9,0,0,8,38,23,0,0,4,0,0,1,0,5,0,1,0,0
21,North,A,Control II,Control,Off,7/30/2021,9:11,68.22,6,5,1,0,2,0,0,1,15,9,0,0,0,0,0,5,0,5,0,1,0,0
1,North,B,Control IV,Control,On,6/1/2021,11:57,23.93,20,4,1,0,1,1,0,0,27,7,0,0,3,0,0,1,0,4,0,7,0,0
2,North,B,Control IV,Control,On,6/4/2021,12:14,72.28,26,8,1,5,7,5,2,2,56,30,0,0,7,0,0,1,1,9,0,11,0,0
3,North,B,Control IV,Control,On,6/7/2021,11:08,70.9,31,14,1,2,6,5,0,0,59,28,0,0,9,0,0,5,1,15,0,7,1,0
4,North,B,Control IV,Control,On,6/8/2021,11:59,24.85,25,13,0,1,3,3,1,0,46,21,1,0,10,0,0,2,0,12,0,2,0,0
5,North,B,Control IV,Control,On,6/11/2021,13:03,73.07,28,20,0,3,7,5,1,1,65,37,1,0,14,0,0,5,0,19,0,5,0,0
6,North,B,Control IV,Control,On,6/14/2021,8:59,67.93,11,20,0,4,13,3,2,1,54,43,1,0,16,1,0,2,0,19,0,4,0,0
7,North,B,Control IV,Control,On,6/15/2021,12:59,24.33,0,1,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0
8,North,B,Control IV,Control,On,6/18/2021,13:25,72.43,16,13,0,2,6,2,1,1,41,25,1,0,10,0,0,2,0,12,0,2,0,0
9,North,B,Control IV,Control,On,6/21/2021,16:44,75.32,18,32,1,1,16,1,0,1,70,52,1,0,25,2,0,4,2,33,0,1,1,0
10,North,B,Control IV,Control,On,6/25/2021,13:37,92.88,17,16,0,1,6,1,1,3,45,28,0,0,12,1,0,3,0,16,0,1,0,0
11,North,B,Control IV,Control,On,6/28/2021,13:01,71.4,12,14,1,0,15,0,1,1,44,32,0,0,5,8,0,1,0,14,0,0,0,0
12,North,B,Control IV,Control,On,6/29/2021,11:02,22.02,6,3,0,0,12,0,0,1,22,16,0,0,3,0,0,0,0,3,0,0,0,0
13,North,B,Control IV,Control,On,7/2/2021,11:22,72.33,16,3,0,1,60,0,0,3,83,67,1,0,1,1,0,0,0,2,0,0,0,0
14,North,B,Control IV,Control,On,7/5/2021,11:53,72.52,9,3,0,1,6,0,0,0,19,10,0,0,3,0,0,0,0,3,0,0,0,0
15,North,B,Control IV,Control,On,7/10/2021,9:03,93.2,20,10,2,2,20,0,0,1,55,35,0,0,8,0,0,2,0,10,0,0,0,0
16,North,B,Control IV,Control,On,7/13/2021,7:25,70.37,12,5,0,0,30,0,1,1,49,37,0,2,1,1,0,1,0,3,0,1,0,0
17,North,B,Control IV,Control,On,7/16/2021,16:16,80.85,15,4,1,3,13,0,0,5,41,26,0,0,2,0,0,2,1,5,0,1,0,0
18,North,B,Control IV,Control,On,7/20/2021,12:42,92.43,9,5,0,0,1,0,0,6,21,12,0,0,4,0,0,0,0,4,0,1,0,0
19,North,B,Control IV,Control,On,7/23/2021,13:41,72.98,18,11,0,0,7,0,1,1,38,20,0,0,4,1,1,6,0,11,0,5,0,0
20,North,B,Control IV,Control,On,7/27/2021,13:12,95.32,11,5,0,1,9,0,2,5,33,22,0,0,1,0,0,4,0,5,0,3,0,0
21,North,B,Control IV,Control,On,7/30/2021,9:20,68.13,10,11,0,0,10,0,1,0,32,22,0,0,5,2,0,4,0,11,0,4,0,0
2,South,C,Control V,Control,On,6/4/2021,11:40,28,37,2,4,4,2,2,0,0,51,14,0,0,2,0,0,0,0,2,0,14,2,0
3,South,C,Control V,Control,On,6/7/2021,6:04,71.47,37,23,0,9,13,0,0,1,83,46,0,4,18,0,0,1,0,19,0,5,0,0
4,South,C,Control V,Control,On,6/8/2021,12:40,66.4,13,19,2,5,8,2,1,1,51,38,0,0,16,0,0,3,0,19,0,0,2,0
5,South,C,Control V,Control,On,6/11/2021,12:39,30.6,21,17,1,6,16,1,0,2,64,43,1,1,12,1,0,2,0,15,0,2,0,0
6,South,C,Control V,Control,On,6/14/2021,9:07,68.5,8,27,0,2,13,0,0,1,51,43,0,0,23,1,0,3,0,27,0,1,0,0
7,South,C,Control V,Control,On,6/15/2021,12:23,71.98,2,2,0,1,0,0,0,0,5,3,0,0,2,0,0,0,0,2,0,0,0,0
8,South,C,Control V,Control,On,6/18/2021,13:06,72.72,4,7,2,2,8,3,0,0,26,22,0,0,6,0,0,0,0,6,0,0,0,0
9,South,C,Control V,Control,On,6/21/2021,15:59,74.88,15,29,1,0,11,0,1,1,58,43,1,0,25,0,0,2,0,27,1,0,0,0
10,South,C,Control V,Control,On,6/25/2021,12:21,92.37,20,18,0,4,8,1,0,0,51,31,0,0,16,0,0,2,0,18,1,0,0,0
11,South,C,Control V,Control,On,6/28/2021,12:09,71.8,18,11,0,0,7,0,0,0,36,18,0,0,8,0,0,3,0,11,0,0,0,0
12,South,C,Control V,Control,On,6/29/2021,10:51,22.7,13,11,0,0,7,0,0,1,32,19,1,1,8,0,0,1,0,9,0,0,0,0
13,South,C,Control V,Control,On,7/2/2021,10:57,72.1,24,12,1,2,18,0,2,0,59,35,0,0,10,0,0,2,0,12,0,0,0,0
14,South,C,Control V,Control,On,7/5/2021,12:06,73.15,4,2,1,0,4,0,0,0,11,7,0,0,1,0,0,1,0,2,0,0,0,0
15,South,C,Control V,Control,On,7/10/2021,9:13,93.1,16,2,2,1,6,0,0,1,28,12,0,1,0,0,0,1,0,1,0,1,0,0
16,South,C,Control V,Control,On,7/13/2021,13:42,76.48,16,8,0,1,9,0,0,4,38,22,0,1,4,0,0,3,0,7,0,1,0,0
17,South,C,Control V,Control,On,7/16/2021,15:08,73.43,16,8,0,1,8,0,0,4,37,21,0,2,3,1,0,2,0,6,0,0,0,0
18,South,C,Control V,Control,On,7/20/2021,11:40,92.53,8,0,2,0,5,0,0,2,17,9,0,0,0,0,0,0,0,0,0,0,1,0
19,South,C,Control V,Control,On,7/23/2021,11:31,71.85,27,5,0,3,12,0,0,7,54,27,0,0,0,0,0,5,0,5,0,0,0,0
20,South,C,Control V,Control,On,7/27/2021,12:31,97,20,13,4,0,8,0,0,4,49,29,0,1,5,0,0,7,0,12,0,1,2,0
1,South,C,Control V,Control,On,6/1/2021,12:12,27.27,14,2,0,2,4,0,0,0,22,8,0,0,1,0,0,1,0,2,0,4,0,0
21,South,C,Control V,Control,On,7/30/2021,9:32,69.02,12,12,0,0,15,0,0,2,41,29,0,1,4,1,0,6,0,11,0,1,0,0
1,South,D,Control VII,Control,Off,6/1/2021,12:25,24.33,13,2,0,0,4,0,0,0,19,6,0,0,1,1,0,0,0,2,0,4,0,0
2,South,D,Control VII,Control,Off,6/4/2021,11:52,71.45,77,7,1,1,7,2,0,0,95,18,0,0,7,0,0,0,1,8,0,27,0,0
3,South,D,Control VII,Control,Off,6/7/2021,5:42,65.88,76,25,0,8,13,2,0,0,124,48,0,0,20,0,0,0,0,20,0,21,0,0
4,South,D,Control VII,Control,Off,6/8/2021,12:28,30.71,28,22,0,3,13,1,0,1,68,40,2,0,20,0,0,0,0,20,0,2,0,0
5,South,D,Control VII,Control,Off,6/11/2021,12:18,71.83,47,28,1,3,14,1,1,0,95,48,2,2,23,1,0,0,0,24,0,4,0,0
6,South,D,Control VII,Control,Off,6/14/2021,9:17,68.98,18,28,0,2,12,0,0,2,62,44,2,0,20,2,0,4,0,26,0,5,0,0
7,South,D,Control VII,Control,Off,6/15/2021,12:04,26.78,13,8,0,0,1,0,1,0,23,10,0,0,8,0,0,0,0,8,0,0,0,0
8,South,D,Control VII,Control,Off,6/18/2021,12:59,72.92,21,17,0,3,2,0,2,0,45,24,0,0,16,0,0,1,1,18,0,1,0,0
9,South,D,Control VII,Control,Off,6/21/2021,15:39,74.67,9,22,0,0,3,0,2,0,36,25,2,0,17,1,0,2,0,20,0,0,0,0
10,South,D,Control VII,Control,Off,6/25/2021,11:43,92.07,10,12,0,1,5,0,1,2,31,21,2,0,8,0,0,2,0,10,0,1,0,0
11,South,D,Control VII,Control,Off,6/28/2021,11:52,72.15,11,13,0,1,8,0,0,0,33,22,1,0,8,1,0,3,1,13,0,0,0,0
12,South,D,Control VII,Control,Off,6/29/2021,10:34,22.7,8,13,0,1,3,0,0,0,25,17,1,0,10,0,0,1,0,11,0,0,0,0
13,South,D,Control VII,Control,Off,7/2/2021,11:08,72.57,16,15,0,2,7,1,0,0,41,25,1,0,14,0,0,0,0,14,1,0,0,0
14,South,D,Control VII,Control,Off,7/5/2021,12:15,73.12,15,4,1,0,1,1,0,0,22,7,0,0,4,0,0,0,0,4,0,0,0,0
15,South,D,Control VII,Control,Off,7/10/2021,9:27,93.2,32,11,0,0,35,0,0,3,81,49,0,0,10,1,0,0,0,11,0,2,0,0
16,South,D,Control VII,Control,Off,7/13/2021,13:21,75.9,29,7,0,0,5,0,0,0,41,12,1,2,2,0,0,2,0,4,0,2,0,0
17,South,D,Control VII,Control,Off,7/16/2021,15:22,74.02,30,7,0,1,5,0,0,0,43,13,1,0,3,0,0,3,2,8,0,0,0,0
18,South,D,Control VII,Control,Off,7/20/2021,11:55,92.55,20,3,1,0,2,0,0,1,27,7,0,1,2,0,0,0,0,2,0,0,0,0
19,South,D,Control VII,Control,Off,7/23/2021,11:15,71.33,20,5,0,0,4,0,0,4,33,13,1,0,1,0,0,3,0,4,0,0,0,0
20,South,D,Control VII,Control,Off,7/27/2021,12:12,96.95,33,7,0,0,5,0,0,4,49,16,0,1,6,0,0,0,0,6,0,1,0,0
21,South,D,Control VII,Control,Off,7/30/2021,9:45,69.55,18,13,0,0,10,0,0,0,41,23,0,1,6,2,0,4,0,12,0,0,0,0
